iter	MultiClass
0	1.040185806
1	0.9856118022
2	0.9372882011
3	0.8972835302
4	0.8522844168
5	0.8163562521
6	0.7750889287
7	0.7407647644
8	0.7145978728
9	0.6848575673
10	0.6533498049
11	0.6311283842
12	0.6102342227
13	0.5861601895
14	0.5649438738
15	0.5431407157
16	0.5209584083
17	0.5010573605
18	0.4873634415
19	0.4716121612
20	0.4572809974
21	0.4427496772
22	0.4247724822
23	0.4109439773
24	0.3984261533
25	0.3873013478
26	0.3770562314
27	0.3638366118
28	0.3517376171
29	0.3428057263
30	0.3337485611
31	0.3238883933
32	0.3157507299
33	0.3066618158
34	0.3003075145
35	0.2920797342
36	0.2832148657
37	0.2753075089
38	0.2688980837
39	0.2611137946
40	0.2555514094
41	0.2488356333
42	0.2403386451
43	0.2345260795
44	0.2291139056
45	0.2238697779
46	0.2188098809
47	0.2129458695
48	0.2085833228
49	0.2035547523
50	0.1988940184
51	0.1943458978
52	0.1899108777
53	0.1846608302
54	0.1800636335
55	0.1756330843
56	0.1722773046
57	0.1693664123
58	0.1661708816
59	0.1634354606
60	0.1599325288
61	0.1570128946
62	0.1541077448
63	0.1512097474
64	0.1485742769
65	0.1459124826
66	0.143954976
67	0.1407116788
68	0.1385911072
69	0.1361189114
70	0.1334397594
71	0.1310803592
72	0.1288694026
73	0.1264960126
74	0.1248741301
75	0.1230235791
76	0.121479271
77	0.1192524736
78	0.1174788891
79	0.1151200522
80	0.1134342367
81	0.1114112483
82	0.1094417646
83	0.1078733529
84	0.1063001791
85	0.1045806782
86	0.1029077257
87	0.1017791073
88	0.09985561079
89	0.09783175152
90	0.09646983057
91	0.09516006639
92	0.09345293357
93	0.09207059014
94	0.09082656381
95	0.08971271144
96	0.0884811951
97	0.08753723947
98	0.08641176929
99	0.08539387567
100	0.08434701222
101	0.08322138817
102	0.08212894815
103	0.08113642449
104	0.07981625428
105	0.07886884894
106	0.07785396419
107	0.07666288214
108	0.07573128522
109	0.07473228635
110	0.07363299627
111	0.07260418526
112	0.07137062401
113	0.07070298972
114	0.06990993069
115	0.06910369338
116	0.06828488149
117	0.06736723155
118	0.06666332367
119	0.06593750575
120	0.065190499
121	0.06452126112
122	0.06366634513
123	0.06258694692
124	0.06189336486
125	0.06126157092
126	0.06065319787
127	0.0599759615
128	0.05937064907
129	0.05846385225
130	0.05774899216
131	0.05711769732
132	0.0566974776
133	0.05585308305
134	0.05507707677
135	0.05432085749
136	0.05366927952
137	0.05307721378
138	0.05249267824
139	0.05206926975
140	0.05150963564
141	0.05104704563
142	0.05055601651
143	0.05004470972
144	0.04945593295
145	0.04900962772
146	0.04857149896
147	0.0482021547
148	0.0477464097
149	0.0473205237
150	0.04690111162
151	0.04637449181
152	0.04598019069
153	0.04556055119
154	0.04496828289
155	0.04457011418
156	0.04429211772
157	0.0439782686
158	0.0436321223
159	0.04321874909
160	0.04282522418
161	0.04250724822
162	0.04208687936
163	0.0418043467
164	0.04148438384
165	0.04113748809
166	0.04086490141
167	0.04058862017
168	0.04021770442
169	0.03979694976
170	0.03948271246
171	0.03918687812
172	0.03881076321
173	0.03853527262
174	0.03818264289
175	0.03794537905
176	0.03769548194
177	0.0373937958
178	0.03713758732
179	0.03684611598
180	0.03653440072
181	0.03626373787
182	0.03605276494
183	0.0357615755
184	0.03549629761
185	0.03525123224
186	0.03500859824
187	0.03481762863
188	0.03458945547
189	0.03441276975
190	0.03419916184
191	0.03397325578
192	0.03373488523
193	0.03348127051
194	0.03324539219
195	0.03301327426
196	0.03276785866
197	0.03248674926
198	0.0322775734
199	0.03204561754
200	0.0318468203
201	0.03165355629
202	0.03140318858
203	0.03123920786
204	0.0310943406
205	0.03095644373
206	0.03072756454
207	0.03050804916
208	0.03034130899
209	0.03021434222
210	0.03003237294
211	0.02983746679
212	0.02965379501
213	0.02942759617
214	0.0292890819
215	0.02902057274
216	0.02884705414
217	0.02870304592
218	0.02853003382
219	0.0284019771
220	0.02817446458
221	0.02798609664
222	0.02783342463
223	0.02765567632
224	0.027467147
225	0.02733400142
226	0.02718872267
227	0.0270692801
228	0.02692583196
229	0.02670171567
230	0.02652978173
231	0.02637878126
232	0.02626643283
233	0.02613096425
234	0.02588641762
235	0.02573494316
236	0.0255849288
237	0.02547343572
238	0.02535381587
239	0.0252375288
240	0.02514987585
241	0.02502803997
242	0.02491622553
243	0.02478424431
244	0.0246427027
245	0.02446980421
246	0.02433273589
247	0.02416754646
248	0.02403714336
249	0.02394094753
250	0.02386164959
251	0.02373659822
252	0.02366201643
253	0.02354251816
254	0.02343447959
255	0.02329924915
256	0.02318522277
257	0.02304700238
258	0.02296308435
259	0.02282985788
260	0.02274024119
261	0.02264132566
262	0.02251177427
263	0.02240012119
264	0.02227010656
265	0.02216599174
266	0.02205818903
267	0.02197512603
268	0.02187794832
269	0.02178980953
270	0.02168155176
271	0.02158331456
272	0.02149699496
273	0.02141795619
274	0.02133061374
275	0.02122873377
276	0.02112937653
277	0.02104749912
278	0.02096186528
279	0.0208750933
280	0.02078863416
281	0.02070573177
282	0.02054324934
283	0.02044444055
284	0.02033139348
285	0.02020324695
286	0.02011788694
287	0.02004786794
288	0.0199358692
289	0.01985369733
290	0.01979067471
291	0.01971302569
292	0.01962321265
293	0.01947001135
294	0.01936766087
295	0.01927915003
296	0.019215006
297	0.01911563211
298	0.01902968727
299	0.01895844455
300	0.01885775255
301	0.01878910418
302	0.0186821632
303	0.01860971573
304	0.01855043669
305	0.01848402701
306	0.01840765646
307	0.01834507078
308	0.0182490432
309	0.01817994078
310	0.01808962712
311	0.01799021818
312	0.01792478662
313	0.01784022329
314	0.01777684632
315	0.01774408538
316	0.01767019613
317	0.0175958783
318	0.01751347214
319	0.01745626813
320	0.01740847135
321	0.01732174863
322	0.01725117257
323	0.01720565931
324	0.01711512161
325	0.01705782922
326	0.01698944829
327	0.01691852975
328	0.01685488224
329	0.0168038661
330	0.01672355976
331	0.01666208534
332	0.01659820997
333	0.01654179302
334	0.01646735157
335	0.01640489787
336	0.01635424632
337	0.0162952966
338	0.01619236823
339	0.01614305133
340	0.01606719404
341	0.01602096762
342	0.0159333309
343	0.01588419671
344	0.01583740277
345	0.01578482815
346	0.01569806117
347	0.0156351988
348	0.01556209092
349	0.01550691256
350	0.01542982131
351	0.01536840312
352	0.01531962936
353	0.01527907785
354	0.0152157841
355	0.0151791692
356	0.01510770889
357	0.0150597981
358	0.01497968469
359	0.01493454716
360	0.01490023426
361	0.01484897097
362	0.0147994796
363	0.01473873747
364	0.01469502966
365	0.01465401334
366	0.01462185841
367	0.0145770886
368	0.0145148306
369	0.01447811206
370	0.01443856764
371	0.01439570599
372	0.01435040446
373	0.01431169644
374	0.01427358701
375	0.01424206785
376	0.01419598682
377	0.01415368798
378	0.01411851334
379	0.01407921214
380	0.01402610996
381	0.01397436857
382	0.01392878877
383	0.01388690432
384	0.01383128858
385	0.01375892671
386	0.01372530337
387	0.01368980335
388	0.01363477925
389	0.01359473776
390	0.01355916604
391	0.01352948553
392	0.01349249381
393	0.0134638828
394	0.01341936477
395	0.01338481325
396	0.01333590806
397	0.0132953959
398	0.01324314842
399	0.01321486556
400	0.01318646695
401	0.01313665675
402	0.01310340545
403	0.0130582607
404	0.01302490659
405	0.01297885108
406	0.01293518685
407	0.01288676051
408	0.01286240694
409	0.01281593427
410	0.01277894385
411	0.01274018689
412	0.0126915556
413	0.01265517568
414	0.01260464273
415	0.0125635118
416	0.01253084871
417	0.01249637134
418	0.01245751909
419	0.01242338737
420	0.01238840011
421	0.0123556695
422	0.01231463407
423	0.01228169748
424	0.01224628274
425	0.01221486111
426	0.01218610242
427	0.01215089856
428	0.01212195646
429	0.01209417493
430	0.01204569704
431	0.01198445971
432	0.01195988187
433	0.01192053503
434	0.01188446481
435	0.01185348474
436	0.01182600789
437	0.01180094561
438	0.01177451984
439	0.01174231188
440	0.01171329998
441	0.01169137931
442	0.01166137426
443	0.01163183673
444	0.01160620134
445	0.01157469937
446	0.01154925741
447	0.01152238229
448	0.01147431217
449	0.01144152787
450	0.01141252211
451	0.01136873694
452	0.01134792658
453	0.01131818364
454	0.01129098117
455	0.01126400235
456	0.01121863602
457	0.01118928776
458	0.01115503182
459	0.01113714852
460	0.01110610705
461	0.0110840283
462	0.01105301916
463	0.01102368535
464	0.01099393524
465	0.01096956264
